TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZTran
48.33558;3.432894;0.1346065;0.7337861;0.1923144;0.1093863;0.754934;0.3556684;-0.0252202;0.0211479;0.163354
48.36217;3.459486;0.13455;0.7338762;0.1923574;0.1093418;0.7550622;0.35571;-0.0252082;0.021186;0.1633526
48.38512;3.482435;0.1346362;0.7337853;0.1923597;0.1094357;0.755;0.3557113;-0.0252005;0.0212147;0.1633516
48.41121;3.508522;0.1345502;0.7335367;0.1922694;0.1093803;0.7547576;0.3556226;-0.0251699;0.0212209;0.1633532
48.43343;3.530744;0.1346084;0.7334639;0.1922473;0.109442;0.7546698;0.3556;-0.0251664;0.0212059;0.1633527
48.45749;3.554808;0.1347112;0.733701;0.192406;0.1095046;0.7548712;0.3557563;-0.0252066;0.0211702;0.1633503
48.4792;3.576517;0.1346452;0.7340307;0.1927215;0.1094178;0.7552009;0.3560686;-0.0252274;0.0211702;0.1633471
48.50407;3.60139;0.1346825;0.7342002;0.1927593;0.1094259;0.7553698;0.3561036;-0.0252566;0.0211696;0.1633443
48.52942;3.626744;0.1347051;0.7341425;0.192581;0.1093963;0.7553062;0.3559192;-0.0253088;0.0211637;0.1633382
48.55318;3.650501;0.1345333;0.7341443;0.1923147;0.1092088;0.7553186;0.3556504;-0.0253245;0.0211743;0.1633357
48.57673;3.674046;0.1342931;0.7340321;0.1921214;0.1089467;0.7551924;0.3554563;-0.0253464;0.0211603;0.1633349
48.60246;3.699775;0.1342073;0.7340251;0.1920043;0.1088288;0.7551973;0.3553326;-0.0253785;0.0211722;0.1633283
48.62473;3.722052;0.1342754;0.7341059;0.1920471;0.108906;0.7552937;0.3553751;-0.0253694;0.0211878;0.163328
48.64787;3.745185;0.1344542;0.7341455;0.1921873;0.1090664;0.7553544;0.3555116;-0.0253878;0.0212089;0.1633243
48.67076;3.768085;0.1345769;0.7339374;0.1923392;0.1091552;0.7551778;0.3556566;-0.0254217;0.0212404;0.1633174
48.69865;3.795971;0.1345994;0.7332803;0.1923846;0.1091512;0.754591;0.3556962;-0.0254482;0.0213107;0.1633116
48.72147;3.818787;0.134667;0.732753;0.192373;0.1091764;0.7541188;0.3556768;-0.0254906;0.0213658;0.1633038
48.74593;3.843256;0.1347104;0.7325825;0.1923083;0.1091968;0.7539523;0.3556097;-0.0255136;0.0213698;0.1633014
48.76868;3.866002;0.1347924;0.7326925;0.1924044;0.1092549;0.7540534;0.3557028;-0.0255375;0.0213609;0.1632984
48.7901;3.887424;0.1350241;0.7328963;0.1924883;0.1094016;0.7542538;0.3557723;-0.0256225;0.0213575;0.163284
48.81501;3.912335;0.135109;0.7332596;0.1925809;0.1094716;0.7545998;0.3558643;-0.0256374;0.0213402;0.1632834
