TotalTime;SegmentTime;XTran1;;;;;
18.99674;3.616035;0.04121416;;;;;
19.01864;3.637943;0.0437384;;;;;
19.04287;3.662167;0.04614582;;;;;
19.0668;3.686094;0.0471588;;;;;
19.08462;3.703918;0.05081125;;;;;
19.11824;3.73754;0.05327307;;;;;
19.14377;3.763071;0.0559937;;;;;
19.17407;3.793367;0.05713834;;;;;
19.19666;3.81596;0.05765675;;;;;
19.21975;3.839049;0.05790337;;;;;
19.24329;3.862587;0.05782146;;;;;
19.26164;3.880939;0.05727147;;;;;
19.2903;3.909601;0.05680284;;;;;
19.30751;3.926812;0.05584519;;;;;
19.33655;3.955844;0.05503978;;;;;
19.36099;3.980284;0.05486441;;;;;
19.38363;4.002931;0.05535642;;;;;
19.40904;4.028339;0.05580445;;;;;
19.43204;4.05134;0.05572905;;;;;
19.45971;4.079004;0.05581762;;;;;
19.47751;4.096807;0.05561958;;;;;
19.50802;4.127321;0.0553438;;;;;
19.52842;4.147721;0.05516951;;;;;
19.55021;4.169506;0.05502245;;;;;
19.57405;4.19335;0.05479847;;;;;
19.59817;4.217463;0.05454375;;;;;
19.63061;4.249903;0.05431376;;;;;
19.64927;4.268562;0.05426385;;;;;
19.67187;4.291167;0.05445679;;;;;
19.69446;4.313753;0.05429289;;;;;
19.71808;4.33738;0.05477665;;;;;
19.74146;4.360757;0.05527434;;;;;
19.75983;4.37913;0.05568571;;;;;
19.79198;4.411276;0.05611343;;;;;
19.81669;4.435984;0.0557876;;;;;
19.84097;4.460261;0.05471053;;;;;
19.86531;4.484604;0.05495196;;;;;
19.8919;4.511199;0.05516236;;;;;
19.91089;4.530191;0.05469467;;;;;
19.93716;4.556461;0.05391832;;;;;
19.96006;4.57936;0.05311469;;;;;
19.9828;4.602095;0.05240491;;;;;
20.00639;4.625686;0.05101239;;;;;
20.03161;4.650904;0.05028608;;;;;
20.0486;4.667892;0.04779381;;;;;
20.08185;4.70115;0.04552369;;;;;
20.10575;4.725044;0.04289524;;;;;
20.13533;4.754629;0.0404834;;;;;
20.15991;4.779208;0.038578;;;;;
20.18248;4.801775;0.03630796;;;;;
20.20586;4.825154;0.0339171;;;;;
20.22884;4.848134;0.03253103;;;;;
20.25449;4.873784;0.03067355;;;;;
20.28109;4.900383;0.02858577;;;;;
20.30532;4.924615;0.02628674;;;;;
20.32796;4.947252;0.02478858;;;;;
