TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZran
57.43545;57.43545;0.04398892;0.7659401;0.3136331;-0.03908459;0.7845008;0.4523246;-0.08307351;0.0185607;0.1386915
57.4604;57.4604;0.04491632;0.7655447;0.3130568;-0.03814774;0.7840457;0.4517558;-0.08306406;0.018501;0.138699
57.48393;57.48393;0.04591533;0.7652334;0.3123245;-0.03715955;0.7837269;0.4510207;-0.08307488;0.0184935;0.1386962
57.50956;57.50956;0.04678115;0.7646974;0.3120327;-0.03628559;0.7831865;0.4507316;-0.08306674;0.0184891;0.1386989
57.53327;57.53327;0.04688726;0.7643651;0.3119243;-0.03617872;0.7828536;0.4506223;-0.08306598;0.0184885;0.138698
57.55646;57.55646;0.04653368;0.7639268;0.3123792;-0.03653073;0.7824146;0.4510773;-0.08306441;0.0184878;0.1386981
57.58193;57.58193;0.04628263;0.7637882;0.3127984;-0.03677904;0.7822759;0.4514961;-0.08306167;0.0184877;0.1386977
57.60508;57.60508;0.04584597;0.7639673;0.3131262;-0.03721531;0.7824566;0.4518243;-0.08306128;0.0184893;0.1386981
57.62845;57.62845;0.04526829;0.7641445;0.3137242;-0.0377865;0.782633;0.4524254;-0.08305479;0.0184885;0.1387012
57.65274;57.65274;0.04487935;0.7646216;0.3138797;-0.03817059;0.7831167;0.4525801;-0.08304994;0.0184951;0.1387004
57.67394;57.67394;0.04470576;0.764993;0.3138204;-0.03833693;0.7834849;0.452525;-0.08304269;0.0184919;0.1387046
57.69678;57.69678;0.04490254;0.7654387;0.313275;-0.03813695;0.783931;0.4519792;-0.08303949;0.0184923;0.1387042
57.72799;57.72799;0.04513253;0.7659595;0.3128468;-0.03790301;0.7844293;0.4515553;-0.08303554;0.0184698;0.1387085
57.74892;57.74892;0.04519017;0.7662337;0.3129364;-0.03786964;0.7846486;0.4516391;-0.08305981;0.0184149;0.1387027
57.77076;57.77076;0.0452527;0.7663985;0.3132274;-0.0378003;0.7848355;0.4519304;-0.083053;0.018437;0.138703
57.79295;57.79295;0.04515756;0.7663647;0.3134551;-0.03789144;0.7848049;0.4521586;-0.083049;0.0184402;0.1387035
57.81601;57.81601;0.04527825;0.7661457;0.3133498;-0.03776738;0.7845882;0.4520545;-0.08304563;0.0184425;0.1387047
57.83847;57.83847;0.04560813;0.7659513;0.3127945;-0.03744136;0.7843926;0.4514982;-0.08304949;0.0184413;0.1387037
57.86369;57.86369;0.0460288;0.7654243;0.3122853;-0.03702185;0.783868;0.4509893;-0.08305065;0.0184437;0.138704
57.88663;57.88663;0.04630287;0.7647179;0.311957;-0.03675099;0.7831577;0.4506595;-0.08305386;0.0184398;0.1387025
57.91484;57.91484;0.04624953;0.7641227;0.3119141;-0.03680291;0.7825171;0.4506238;-0.08305244;0.0183944;0.1387097
57.93842;57.93842;0.0463607;0.7636755;0.3121749;-0.03671402;0.7819977;0.4508815;-0.08307472;0.0183222;0.1387066
57.95953;57.95953;0.04655517;0.7634541;0.3124867;-0.0365277;0.7817923;0.4511868;-0.08308287;0.0183382;0.1387001
57.98502;57.98502;0.04635463;0.7632762;0.3130412;-0.03672451;0.7816093;0.4517416;-0.08307914;0.0183331;0.1387004
58.01109;58.01109;0.0457734;0.7633584;0.3136179;-0.03731249;0.7816488;0.4523197;-0.08308589;0.0182904;0.1387018
58.03336;58.03336;0.04545585;0.7638557;0.3136566;-0.0376295;0.782147;0.4523605;-0.08308535;0.0182913;0.1387039
58.05849;58.05849;0.04543579;0.7643437;0.3133793;-0.03764907;0.7826397;0.4520822;-0.08308486;0.018296;0.1387029
58.0814;58.0814;0.0454221;0.7648929;0.3131024;-0.03766276;0.7831889;0.4518052;-0.08308486;0.018296;0.1387028
58.10633;58.10633;0.04535905;0.7652392;0.3129616;-0.0377263;0.7835363;0.4516646;-0.08308535;0.0182971;0.138703
58.13017;58.13017;0.04533571;0.7654598;0.3129162;-0.03774992;0.7837565;0.45162;-0.08308563;0.0182967;0.1387038
58.1497;58.1497;0.04516139;0.7654405;0.3127295;-0.03792466;0.7837452;0.4514308;-0.08308605;0.0183047;0.1387013
58.17243;58.17243;0.04524255;0.7654636;0.3125901;-0.0378419;0.7837704;0.4512913;-0.08308445;0.0183068;0.1387012
58.1993;58.1993;0.04546019;0.7654854;0.312507;-0.03762311;0.7837899;0.451208;-0.0830833;0.0183045;0.138701
58.21797;58.21797;0.04629219;0.7654425;0.3123654;-0.03679422;0.7837488;0.4510661;-0.08308641;0.0183063;0.1387007
58.24788;58.24788;0.04654484;0.7653778;0.31248;-0.03657432;0.783655;0.4511709;-0.08311916;0.0182772;0.1386909
58.27247;58.27247;0.04647442;0.765336;0.3125975;-0.03667106;0.7835777;0.4512782;-0.08314548;0.0182417;0.1386807
58.29529;58.29529;0.0463171;0.7652197;0.3126268;-0.03681739;0.7834808;0.4513092;-0.08313449;0.0182611;0.1386824
58.31778;58.31778;0.04624114;0.7649199;0.3126997;-0.03689646;0.7831841;0.4513802;-0.0831376;0.0182642;0.1386805
58.34231;58.34231;0.04631838;0.7646037;0.3128632;-0.03681692;0.782866;0.451545;-0.0831353;0.0182623;0.1386818
58.36863;58.36863;0.04633865;0.7644305;0.3130446;-0.03679658;0.7826962;0.451724;-0.08313523;0.0182657;0.1386794
58.39301;58.39301;0.04631452;0.7643535;0.3132153;-0.03682072;0.7826192;0.4518948;-0.08313524;0.0182657;0.1386795
58.41649;58.41649;0.04619089;0.7643511;0.3134825;-0.03695017;0.7826152;0.4521603;-0.08314106;0.0182641;0.1386778
58.44018;58.44018;0.04606681;0.7643507;0.3136187;-0.03707591;0.7826183;0.452297;-0.08314272;0.0182676;0.1386783
58.4657;58.4657;0.04615082;0.7645577;0.3131552;-0.03699189;0.7828253;0.4518334;-0.08314271;0.0182676;0.1386782
58.48501;58.48501;0.04642003;0.7647359;0.3124898;-0.03675646;0.7830031;0.4511508;-0.08317649;0.0182672;0.138661
58.51199;58.51199;0.04630304;0.7644198;0.3123989;-0.03686824;0.7826598;0.4510646;-0.08317128;0.01824;0.1386657
58.53791;58.53791;0.04605832;0.7642455;0.3125157;-0.03711494;0.7825012;0.4511795;-0.08317326;0.0182557;0.1386638
58.56019;58.56019;0.04599346;0.7642305;0.312707;-0.0371793;0.7824851;0.4513707;-0.08317276;0.0182546;0.1386637
58.58167;58.58167;0.04570447;0.7641133;0.3132498;-0.03746829;0.7823679;0.4519134;-0.08317276;0.0182546;0.1386636
58.60491;58.60491;0.04553115;0.7641801;0.3139801;-0.03763853;0.7824378;0.4526439;-0.08316968;0.0182577;0.1386638
58.62804;58.62804;0.04568298;0.7645981;0.3141865;-0.03748707;0.7828576;0.4528497;-0.08317005;0.0182595;0.1386632
58.65201;58.65201;0.04586292;0.7650254;0.3139042;-0.03731082;0.783285;0.4525653;-0.08317374;0.0182596;0.1386611
58.67323;58.67323;0.04589267;0.7653736;0.3132585;-0.03729832;0.7836277;0.4519122;-0.08319099;0.0182541;0.1386537
58.70072;58.70072;0.04585549;0.7652321;0.3125955;-0.03732997;0.7834851;0.4512525;-0.08318546;0.018253;0.138657
58.72572;58.72572;0.04583225;0.7649919;0.3122437;-0.03736763;0.7832678;0.4508872;-0.08319988;0.0182759;0.1386435
58.74984;58.74984;0.04583497;0.7647356;0.312251;-0.03735299;0.7830037;0.4508985;-0.08318796;0.0182681;0.1386475
58.77286;58.77286;0.04589786;0.7646606;0.3128448;-0.03728504;0.7829309;0.4514929;-0.0831829;0.0182703;0.1386481
58.79488;58.79488;0.04595049;0.7648003;0.3132849;-0.03722923;0.783063;0.4519328;-0.08317972;0.0182627;0.1386479
58.81789;58.81789;0.04574122;0.765142;0.3134385;-0.03744324;0.7834064;0.4520849;-0.08318446;0.0182644;0.1386464
58.84079;58.84079;0.04554271;0.7654214;0.313388;-0.03764175;0.7836859;0.4520344;-0.08318446;0.0182645;0.1386464
58.86662;58.86662;0.04536984;0.7659079;0.3134749;-0.03781532;0.7841765;0.4521199;-0.08318516;0.0182686;0.138645
58.89244;58.89244;0.04536562;0.7661041;0.3135115;-0.03782795;0.7843853;0.4521478;-0.08319357;0.0182812;0.1386363
58.91621;58.91621;0.04556591;0.7659504;0.3133288;-0.03764106;0.7842317;0.4519539;-0.08320697;0.0182813;0.1386251
58.94988;58.94988;0.04582454;0.7655689;0.3127577;-0.03739376;0.7838968;0.4513593;-0.0832183;0.0183279;0.1386016
58.96434;58.96434;0.0461041;0.7653023;0.3123388;-0.03712513;0.7836744;0.4509189;-0.08322923;0.0183721;0.1385801
58.986;58.986;0.04627041;0.7651279;0.3121592;-0.03693819;0.7834811;0.4507473;-0.0832086;0.0183532;0.1385881
59.01265;59.01265;0.04634178;0.7650886;0.3122756;-0.03689365;0.7834631;0.450846;-0.08323543;0.0183745;0.1385704
59.03805;59.03805;0.04637123;0.7652311;0.3123043;-0.03686324;0.7836109;0.4508689;-0.08323447;0.0183798;0.1385646
59.05977;59.05977;0.04668443;0.7653578;0.3122948;-0.03654559;0.7837408;0.4508615;-0.08323002;0.018383;0.1385667
59.08368;59.08368;0.04634278;0.7655543;0.3120682;-0.03688778;0.7839352;0.4506349;-0.08323056;0.0183809;0.1385667
59.10737;59.10737;0.04601343;0.7653759;0.3122185;-0.03724238;0.7838452;0.450754;-0.08325581;0.0184693;0.1385355
59.13898;0.0316096;0.04588066;0.7651502;0.3124057;-0.03737805;0.7836239;0.4509311;-0.08325871;0.0184737;0.1385254
59.15419;0.0468248;0.04567384;0.7649847;0.3128608;-0.03758918;0.7835497;0.4513691;-0.08326302;0.018565;0.1385083
59.18618;0.0788064;0.04481937;0.7650391;0.3136329;-0.03845154;0.7836064;0.4521329;-0.08327091;0.0185673;0.1385
